controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,pd_solve_ms,hal_write_ms,sleep_ms
pd,00:02:10.533,1,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0137698,-0.0068849,-0.0206547,0.0275396,-0.034424500000000004,-0.034424500000000004,0.024828327228016,-0.0019418803418559999,-0.005790964590891999,0.001190018315043,-8.6233211235e-05,0.002190323565369,10.011000049945055,1.9145169999319478,0.20092399972782005,0.07614700007252395,0.0
pd,00:02:10.536,2,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-1015.5068526651829,0.0,0.0,0.0,0.10143910225403897,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0137698,-0.0068849,-0.0206547,0.0275396,-0.034424500000000004,-0.034424500000000004,0.024828327228016,-0.0019418803418559999,-0.005790964590891999,0.001190018315043,-8.6233211235e-05,0.002190323565369,10.011000049945055,2.5284379998993245,0.3125339999314747,0.13329500006875605,0.0
pd,00:02:10.539,3,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-740.8111740296398,0.0,0.0,0.0,0.07399971771347924,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0137698,-0.0068849,-0.0206547,0.0275396,-0.034424500000000004,-0.034424500000000004,0.024828327228016,-0.0019418803418559999,-0.005790964590891999,0.001190018315043,-8.6233211235e-05,0.002190323565369,10.011000049945055,2.483660000052623,0.256904000252689,0.1197209999190818,0.0
pd,00:02:10.543,4,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-683.8628231921821,0.0,0.0,0.0,0.06831114006514664,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0826188,-0.0275396,-0.0137698,0.0137698,0.0068849,-0.0137698,0.024776312576001998,-0.001577777777758,-0.005340170940104,0.000534645909657,-0.000551892551904,0.001500457875489,10.011000049945055,2.532789000269986,0.26785000000018044,0.12503600009949878,0.0
pd,00:02:10.546,5,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-824.9347218860507,0.0,0.0,0.0,0.0824028290766209,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0826188,-0.0275396,-0.0137698,0.0137698,0.0068849,-0.0137698,0.024776312576001998,-0.001577777777758,-0.005340170940104,0.000534645909657,-0.000551892551904,0.001500457875489,10.011000049945055,4.386492999856273,0.2567559999988589,0.12231400023665628,0.0
pd,00:02:10.550,6,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-512.463109548916,0.0,0.0,0.0,0.051190001952743654,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0826188,-0.0275396,-0.0137698,0.0137698,0.0068849,-0.0137698,0.024776312576001998,-0.001577777777758,-0.005340170940104,0.000534645909657,-0.000551892551904,0.001500457875489,10.011000049945055,1.7905189997691195,0.15107299986993894,0.06359200006045285,0.0
pd,00:02:10.553,7,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-1205.8925141872483,0.0,0.0,0.0,0.12045674899483066,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0826188,-0.0275396,-0.0137698,0.0137698,0.0068849,-0.0137698,0.024776312576001998,-0.001577777777758,-0.005340170940104,0.000534645909657,-0.000551892551904,0.001500457875489,10.011000049945055,1.769464000062726,0.5180690000088362,0.08653600025354535,0.0
pd,00:02:10.555,8,-109.989,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.9945,-90.0,0.0,-89.967,0.2125,0.0,-1019.2537465773372,0.0,0.0,0.0,0.10181337993980007,0.0,-5.005499999999998,0.0,0.0,0.0,0.0005000000000000004,0.0,0.0826188,-0.0275396,-0.0137698,0.0137698,0.0068849,-0.0137698,0.024776312576001998,-0.001577777777758,-0.005340170940104,0.000534645909657,-0.000551892551904,0.001500457875489,10.011000049945055,6.817931000114186,0.257701000009547,0.1225910000357544,0.0
pd,00:02:10.562,9,-109.988,-90.0,0.0,-89.967,0.212,0.0,0.13671134289504652,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-115.00767113428951,-90.0,0.0,-89.967,0.2125,0.0,-343.1229908284714,0.0,0.0,0.0,0.03417783572359846,0.0,-5.01967113428951,0.0,0.0,0.0,0.0005000000000000004,0.0,0.034424500000000004,-0.0137698,0.0413094,0.0137698,-0.0413094,-0.0413094,0.022834432234146,-0.002149938949912,-0.00450793650788,0.001138278388302,0.000275946275952,0.0009830586080790001,10.012000049940072,2.2520699999404314,0.2556269996603078,0.11522099975991296,0.0
pd,00:02:10.565,10,-109.988,-90.0,0.0,-89.967,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-90.0,0.0,-89.967,0.213,0.0,-114.994,-90.0,0.0,-89.967,0.2125,0.0,-919.9389162285314,0.0,0.0,0.0,0.09188363126533482,0.0,-5.006,0.0,0.0,0.0,0.0005000000000000004,0.0,0.034424500000000004,-0.0137698,0.0413094,0.0137698,-0.0413094,-0.0413094,0.022834432234146,-0.002149938949912,-0.00450793650788,0.001138278388302,0.000275946275952,0.0009830586080790001,10.012000049940072,4.575862000365305,0.3455709997979284,0.12868399971921463,0.0
