controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,pd_solve_ms,hal_write_ms,sleep_ms
pd,00:14:37.629,1,-90.0,-90.0,0.0,-88.626,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.2145,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5884999999999962,-0.0014999999999999875,5.001000000000001,-0.0137698,-0.0068849,0.034424500000000004,0.5507920000000001,0.0481943,-0.0206547,-0.0024620268619959997,0.000641514041506,8.669108669e-05,-0.005346459096570001,0.0037770146520930002,0.002052350427393,10.071014943887233,2.0415730000422627,0.20527600008790614,0.07988900006239419,0.0
pd,00:14:37.632,2,-90.0,-90.0,0.0,-88.626,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.2145,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-108.83368183421447,-0.27740105820105715,924.8551280423279,0.0,0.0,0.0,-0.5884999999999962,-0.0014999999999999875,5.001000000000001,-0.0137698,-0.0068849,0.034424500000000004,0.5507920000000001,0.0481943,-0.0206547,-0.0024620268619959997,0.000641514041506,8.669108669e-05,-0.005346459096570001,0.0037770146520930002,0.002052350427393,10.071014943887233,2.478179999798158,0.2487009996912093,0.11627699996097363,0.0
pd,00:14:37.636,3,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,2.0051384255817184,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.41051384255817,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-88.39472760801804,-0.16709486879846958,557.0942925740995,0.0,0.0,0.0,-0.7935138425581698,-0.0014999999999999875,5.001000000000001,-0.0137698,-0.0068849,0.034424500000000004,0.5507920000000001,0.0481943,-0.0206547,-0.0024620268619959997,0.000641514041506,8.669108669e-05,-0.005346459096570001,0.0037770146520930002,0.002052350427393,10.072070740418773,2.6249389998156403,0.3078670001741557,0.14162899969960563,0.0
pd,00:14:37.640,4,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.21000000000001,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-85.05650338554084,-0.2151513576362758,717.3146263593461,0.0,0.0,0.0,-0.5930000000000035,-0.0014999999999999875,5.001000000000001,-0.0137698,-0.0068849,0.034424500000000004,0.5507920000000001,0.0481943,-0.0206547,-0.0024620268619959997,0.000641514041506,8.669108669e-05,-0.005346459096570001,0.0037770146520930002,0.002052350427393,10.072070740418773,2.5592909996703384,0.24507199987056083,0.11879500016220845,0.0
pd,00:14:37.643,5,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.21000000000001,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-97.99930149724133,-0.2478903073286043,826.4662846335697,0.0,0.0,0.0,-0.5930000000000035,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.072070740418773,5.565244000081293,0.2805900003295392,0.16166500017789076,0.0
pd,00:14:37.649,6,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.21000000000001,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-48.44797756048122,-0.12254969028789545,408.58066741984493,0.0,0.0,0.0,-0.5930000000000035,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.072070740418773,1.8693340002755576,0.17109100008383393,0.0776289998611901,0.0
pd,00:14:37.651,7,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.21000000000001,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-135.20451576429576,-0.34200130463144035,1140.2323496412262,0.0,0.0,0.0,-0.5930000000000035,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.072070740418773,2.9373799998211325,0.27060799993705587,0.1257579997400171,0.0
pd,00:14:37.655,8,-90.0,-90.0,0.0,-88.617,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.21000000000001,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-81.4361296575203,-0.20599358260755604,686.7826044135943,0.0,0.0,0.0,-0.5930000000000035,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.072070740418773,2.092351000101189,0.30881199973009643,0.12683199975072057,0.0
pd,00:14:37.658,9,-90.0,-90.0,0.0,-88.609,-0.083,-30.002,0.0,0.0,0.0,3.0281050446747595,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.50881050446748,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-170.29504548912365,-0.2838848479379107,946.4720830249977,0.0,0.0,0.0,-0.8998105044674816,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.073015884033936,1.8030569999609725,0.18553499967310927,0.07705500001975452,0.0
pd,00:14:37.660,10,-90.0,-90.0,0.0,-88.609,-0.083,-30.002,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-89.803,-0.086,-20.0,-90.0,-90.0,0.0,-89.20599999999999,-0.08449999999999999,-25.000999999999998,0.0,0.0,0.0,-139.25033299966663,-0.3498752085418739,1166.4839452786118,0.0,0.0,0.0,-0.5969999999999942,-0.0014999999999999875,5.001000000000001,0.0481943,0.0481943,0.0068849,0.7022598,-0.0275396,-0.0206547,-0.0020285714285459997,0.001404395604378,0.002323321123292,-0.005484432234546001,0.0033630952381650003,0.00310439560446,10.073015884033936,2.0524619999378046,0.19714600011866423,0.09197999997923034,0.0
