controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
invdyn,00:46:50.367,1,-90.024,-30.013,0.026,-90.005,-0.012,0.004,0.0,0.0,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0065,0.026,-90.005,-0.0125,0.004,0.0,-124.83749999999998,0.0,0.0,-0.012499999999999989,0.0,0.0,-4.993500000000001,0.0,0.0,-0.0005000000000000004,0.0,-0.0206547,-0.1652376,0.0068849,-0.0137698,-0.0275396,-0.0068849,0.008374358974254,-0.114969719168278,-0.013575824175654,0.0038804945055750002,-0.0017074175824530002,0.0018453907204290002,9.987000050065083,2.6843799996640882,0.2424790000077337,0.11914700007764623,17.02351399944746
invdyn,00:46:50.388,2,-90.024,-30.017,0.026,-90.005,-0.013,0.004,0.0,-0.1960779767190723,0.0,0.0,-0.049019494179795196,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0085,0.026,-90.005,-0.013,0.004,0.0,-122.34040259922398,0.0,0.0,0.0,0.0,0.0,-4.9914999999999985,0.0,0.0,0.0,0.0,0.0206547,-0.1927772,-0.0068849,-0.0550792,-0.0,-0.0275396,0.008998534798422,-0.114987057385616,-0.0138705738704,0.0037770146520930002,-0.0009658119658320001,0.0016556776557120003,9.983,2.2370509996108012,0.22947900015424239,0.1016649994198815,17.568508999829646
invdyn,00:46:50.408,3,-90.024,-30.021,0.026,-90.005,-0.013,0.004,0.0,-0.19588567158609194,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0105,0.026,-90.005,-0.013,0.004,0.0,-122.17144479730992,0.0,0.0,0.0,0.0,0.0,-4.9895,0.0,0.0,0.0,0.0,0.0137698,-0.1721225,-0.0275396,-0.034424500000000004,0.0068849,-0.0137698,0.009154578754464,-0.115368498167052,-0.014147985347808,0.004639346764443,-0.001345238095266,0.001534951159983,9.979,4.754378000143333,0.24664600005053217,0.12442400020518107,14.91449900004227
invdyn,00:46:50.428,4,-90.024,-30.025,0.026,-90.005,-0.013,0.004,0.0,-0.19655348711869797,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0125,0.026,-90.005,-0.013,0.004,0.0,-122.53881462563119,0.0,0.0,0.0,0.0,0.0,-4.987500000000004,0.0,0.0,0.0,0.0,-0.0413094,-0.1583527,-0.0,0.0137698,0.0550792,-0.0137698,0.009345299145182,-0.114969719168278,-0.0138705738704,0.004432387057479,-0.0009140720390910001,0.002017857142899,9.975000000000001,1.9868130002578255,0.22481199994217604,0.08740699922782369,17.75854400057142
invdyn,00:46:50.449,5,-90.024,-30.029,0.026,-90.005,-0.012,0.004,0.0,-0.1975277385326081,0.0,0.0,0.0493819346331355,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0145,0.026,-90.005,-0.0125,0.004,0.0,-123.09681755674862,0.0,0.0,-0.012345483658283874,0.0,0.0,-4.985499999999998,0.0,0.0,-0.0005000000000000004,0.0,-0.0481943,-4.5371491,-0.0,0.0068849,-0.0619641,-0.0068849,0.009154578754464,-0.12469645909489599,-0.014980219780032,0.00431166056175,-0.001327991453019,0.001431471306501,9.971000050145422,1.9512210001266794,0.22173799970914843,0.07340699994529132,17.81522799956292
invdyn,00:46:50.469,6,-90.024,-30.075,0.026,-90.005,-0.013,0.004,0.0,-2.27561460163941,0.0,0.0,-0.04946988264433563,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.0375,0.026,-90.005,-0.013,0.004,0.0,-122.7471463112579,0.0,0.0,0.0,0.0,0.0,-4.962500000000002,0.0,0.0,0.0,0.0,0.0481943,-6.5337701,0.0068849,0.0275396,-0.0481943,-0.0068849,0.008998534798422,-0.12929108668946598,-0.0138705738704,0.004208180708268,-0.000569139194151,0.0018971306471700002,9.925,1.9241099998907885,0.22172000080900034,0.07520199960708851,17.83806099956564
invdyn,00:46:50.489,7,-90.024,-30.201,0.026,-90.005,-0.013,0.004,0.0,-6.236588866991647,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.1005,0.026,-90.005,-0.013,0.004,0.0,-121.2546315627987,0.0,0.0,0.0,0.0,0.0,-4.899499999999996,0.0,0.0,0.0,0.0,0.0137698,-8.1104122,-0.0550792,-0.0,-0.0481943,-0.0137698,0.008825152625042,-0.119616361414862,-0.013575824175654,0.004328907203997001,-0.001103785103808,0.001534951159983,9.799,1.9233689999964554,0.2191459998357459,0.07410999933199491,17.84552499975689
invdyn,00:46:50.509,8,-90.024,-30.338,0.026,-90.005,-0.013,0.004,0.0,-6.778813075843217,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.169,0.026,-90.005,-0.013,0.004,0.0,-119.51987580072432,0.0,0.0,0.0,0.0,0.0,-4.830999999999996,0.0,0.0,0.0,0.0,-0.0619641,-9.1156076,0.0068849,-0.0137698,-0.0275396,0.0413094,0.008530402930296,-0.10134188034061,-0.014165323565146,0.0034493284494000005,-0.001345238095266,0.0017246642247000002,9.661999999999999,2.10101599986956,0.2502190000086557,0.11922099929506658,17.591230000107316
invdyn,00:46:50.530,9,-90.024,-30.511,0.026,-90.005,-0.013,0.004,0.0,-8.554253958149046,0.0,0.0,0.0,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.2555,0.026,-90.005,-0.013,0.004,0.0,-117.29958931918657,0.0,0.0,0.0,0.0,0.0,-4.744499999999999,0.0,0.0,0.0,0.0,0.0413094,-8.7851324,0.0481943,-0.034424500000000004,0.0206547,0.0068849,0.008530402930296,-0.09197924297809,-0.01361050061033,0.00396672771681,-0.001155525030549,0.002311050061098,9.489,1.9559060001483886,0.2248129994768533,0.08662800064485054,19.224159000259533
invdyn,00:46:50.551,10,-90.024,-30.691,0.026,-90.005,-0.012,0.004,0.0,-8.315340609958904,0.0,0.0,0.04619633672199395,0.0,-90.024,-40.0,0.026,-90.005,-0.013,0.004,-90.024,-35.3455,0.026,-90.005,-0.0125,0.004,0.0,-107.51042463626052,0.0,0.0,-0.011549084180498487,0.0,0.0,-4.654500000000002,0.0,0.0,-0.0005000000000000004,0.0,-0.0206547,-7.6215843,0.034424500000000004,-0.0,0.0206547,0.0137698,0.009501343101224,-0.09324493284376399,-0.0138705738704,0.0038804945055750002,-0.000569139194151,0.001483211233242,9.309000053711463,3.0521360004058806,0.2369600006204564,0.11883200022566598,17.176307999761775
