controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
invdyn,01:00:55.411,1,-89.607,-84.35,-2.966,-103.247,11.057,1.375,0.0,0.0,0.0,0.0,0.0,0.0,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.51925,-92.35,-10.43655,-95.247,3.0570000000000004,-1.5644999999999998,102.19375,-200.0,-186.76375,200.0,-200.0,-73.4875,4.08775,-8.0,-7.47055,8.0,-8.0,-2.9395,-0.0068849,0.1032735,0.4957128,-0.3373601,-0.14458290000000001,0.28916580000000003,-0.022730402930118,0.02279975579947,0.033826862026438,0.0050877594628650005,-0.002862942613002,-0.002724969475026,58.0245860441072,1.9756729998334777,0.2465879997544107,0.11827500020444859,17.74217099955422
invdyn,01:00:55.431,2,-89.608,-84.349,-2.957,-103.254,11.054,1.381,-0.04919081462740163,0.049190814626702585,0.44271733164451754,-0.3443357023904133,-0.14757244388150584,0.29514488776300074,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.51975,-92.349,-10.43205,-95.254,3.0540000000000003,-1.5614999999999999,100.55217394975729,-196.763258508667,-183.8518994394014,196.763258508667,-196.763258508667,-72.37198602021908,4.088250000000002,-8.0,-7.47505,8.0,-8.0,-2.9425,0.0275396,0.0550792,0.4681732,-0.3235903,-0.0963886,0.2960507,-0.022730402930118,0.021967521367245998,0.033098656898242,0.0039322344323160004,-0.0031906288156950003,-0.002966422466484,58.02919219143069,2.0186169995213277,0.24157000007107854,0.16047900044213748,17.65017199977592
invdyn,01:00:55.451,3,-89.608,-84.348,-2.947,-103.26,11.052,1.386,0.0,0.04910155582374389,0.49101555823508397,-0.29460933494106784,-0.09820311164705167,0.24550777911754199,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.51975,-92.348,-10.427050000000001,-95.26,3.0519999999999996,-1.559,100.36971779773128,-196.40622329403777,-183.6410463188209,196.40622329403777,-196.40622329403777,-72.30204095011764,4.088250000000002,-8.0,-7.480050000000001,8.0,-8.0,-2.945,0.034424500000000004,0.0481943,0.4957128,-0.3993242,-0.1101584,0.4406336,-0.022730402930118,0.021967521367245998,0.033133333332918,0.003207875457942,-0.0029836691087310003,-0.002155830280875,58.034059640783376,2.0810050000363844,0.23555200004921062,0.10688700058381073,17.630005999308196
invdyn,01:00:55.472,4,-89.608,-84.347,-2.938,-103.268,11.051,1.392,0.0,0.04915795272107201,0.44242157448753056,-0.39326362176648033,-0.04915795272081004,0.294947716325024,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.51975,-92.347,-10.42255,-95.268,3.051,-1.5559999999999996,100.48500010548157,-196.63181088334915,-183.96257751837135,196.63181088334915,-196.63181088334915,-72.45882231051415,4.088250000000002,-8.0,-7.484549999999999,8.0,-8.0,-2.9479999999999995,-0.0206547,0.06884900000000001,0.46128830000000004,-0.5783316000000001,-0.0757339,0.5989863,-0.0208058608056,0.019470818070574,0.033133333332918,0.0027767094017670003,-0.004432387057479,-0.002190323565369,58.04036763830844,2.304445999470772,0.2596439999251743,0.12455300020519644,17.369213000165473
invdyn,01:00:55.492,5,-89.609,-84.346,-2.938,-103.278,11.049,1.402,-0.049409857694378743,0.049409857694378743,0.0,-0.4940985769487025,-0.09881971538972295,0.49409857694845016,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.52025,-92.346,-10.42255,-95.278,3.0489999999999995,-1.551,101.01227782489863,-197.6394307793799,-184.90527520497596,197.6394307793799,-197.6394307793799,-72.9536548864386,4.08874999999999,-8.0,-7.484549999999999,8.0,-8.0,-2.953,1.0602746,-0.46128830000000004,-0.4337487,3.2772124000000002,-4.3787964,-3.1601691,0.024984371184058,-0.027966544566193997,0.033133333332918,-0.001569444444477,-0.0070021367522820005,0.004277167277256,58.045111868184044,2.120004000062181,0.2281440001752344,0.09509100073046284,17.61474700015242
invdyn,01:00:55.512,6,-89.603,-84.349,-2.938,-103.252,11.003,1.38,0.29677379183472435,-0.14838689591736218,0.0,1.2860197646176073,-2.275265737399436,-1.0881705700606157,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.51724999999999,-92.349,-10.42255,-95.252,3.003,-1.5619999999999998,101.04529333238985,-197.8491945564754,-185.10152363970846,197.8491945564754,-197.8491945564754,-72.75904129814381,4.085750000000004,-8.0,-7.484549999999999,8.0,-8.0,-2.9419999999999997,4.4132209,-6.2032949,-4.3719115,7.7386276,-8.7713626,-3.3391765,0.037519902319431996,-0.053349694749026,-0.051407814407169995,-0.0033630952381650003,-0.008330128205301001,0.0036390415141170003,57.99701743012307,2.261094999994384,0.25720000030560186,0.12434999916877132,17.390973000146914
invdyn,01:00:55.532,7,-89.56,-84.404,-2.967,-103.137,10.861,1.306,2.128158778481446,-2.722063553871748,-1.4352698738598375,5.691587430823256,-7.027873175451612,-3.6624127815733813,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.49575,-92.404,-10.43705,-95.137,2.8610000000000007,-1.5989999999999998,100.57406180749764,-197.96825846342642,-184.8540986418398,197.96825846342642,-197.96825846342642,-71.88722385453173,4.064250000000001,-8.0,-7.470049999999999,8.0,-8.0,-2.905,5.893474400000001,-8.7300532,-9.2188811,10.5407819,-12.6406764,-3.993242,0.031191452991061998,-0.074242246641316,-0.049656654456032,-0.005036019536124,0.00020695970696400003,0.0017419108669470002,57.799987520673405,1.979617999495531,0.22547800017491682,0.08383199929085094,17.77072599998064
invdyn,01:00:55.553,8,-89.451,-84.563,-3.112,-102.945,10.649,1.233,5.366582181007597,-7.828317126423586,-7.139031341706774,9.453062190398292,-10.43775616856446,-3.5941330203075457,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.44125,-92.563,-10.50955,-94.945,2.648999999999999,-1.6355,98.70941697382314,-196.93879563329028,-182.1080734546308,196.93879563329028,-196.93879563329028,-70.61486690926165,4.009749999999997,-8.0,-7.397550000000001,8.0,-8.0,-2.8685,6.2170647,-11.428934,-10.9883004,11.718099800000001,-11.8971072,-4.5853434,0.027706471306123998,-0.07325396825305,-0.04403907203852,0.001138278388302,-0.004052960928045001,0.000551892551904,57.431938945067834,1.9460069997876417,0.22368200006894767,0.08977600009529851,17.794780999793147
invdyn,01:00:55.573,9,-89.331,-84.758,-3.323,-102.733,10.398,1.145,5.940099136099224,-9.65266109616168,-10.444674314308637,10.494175140442268,-12.424707359675184,-4.356072699806452,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.38125,-92.758,-10.61505,-94.733,2.3979999999999997,-1.6794999999999995,97.75794401170754,-198.00330453665674,-180.48124960581598,198.00330453665674,-198.00330453665674,-69.90754170797337,3.9497500000000088,-8.0,-7.29205,8.0,-8.0,-2.8244999999999996,6.4373815,-14.2655128,-12.0898844,10.7060195,-12.4960935,-4.2961776,0.025383150182832,-0.03927106227057,-0.029578998778627998,-0.0035528083028820005,-0.000586385836398,0.001017551892573,56.99113946386755,1.9339889995535486,0.2556259996708832,0.1047569994625519,17.735023000568617
invdyn,01:00:55.593,10,-89.205,-85.02,-3.557,-102.503,10.173,1.06,6.15616690352515,-12.800918481932786,-11.432881392260558,11.237447522307582,-10.993155184865905,-4.152969736504902,-81.4315,-111.5334,-17.9071,-77.1231,-29.2024,-4.504,-85.31825,-93.02,-10.73205,-94.503,2.173,-1.722,94.95032425506137,-195.43386995317195,-175.2809735759383,195.43386995317195,-195.43386995317195,-67.96212827621555,3.886749999999992,-8.0,-7.175049999999999,8.0,-8.0,-2.782,6.4855758,-13.976347,-12.3377408,11.5459773,-11.8626827,-4.2410984,0.0182051282049,-0.022505006104723998,-0.018968009767772,-0.0035355616606350003,-0.004277167277256,0.002035103785146,56.52285021997741,2.8407899999365327,0.6276759995671455,0.322550999953819,16.240230999756022
