controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:14:59.864,1,-85.629,-111.237,-12.211,-116.137,22.347,-19.7,0.0,0.0,0.0,0.0,0.0,0.0,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.8771954,-103.237,-5.835775000000001,-108.137,14.347000000000001,-19.1947916,-6.204884999999867,200.0,159.38062499999998,200.0,-200.0,12.630209999999977,-0.24819540000000018,8.0,6.3752249999999995,8.0,-8.0,0.5052084000000008,-0.0137698,-1.2805914,-0.3098205,-0.1790074,0.5025977,-0.4199789,-0.02106593406567,0.0058949938949199995,-0.007160683760593999,0.00024145299145800003,0.0018626373626760002,0.0035010683761410003,76.7873094063075,5.445425999823783,0.34323700037930394,0.15783200069563463,14.110041000094498
pid,05:14:59.884,2,-85.629,-111.263,-12.219,-116.144,22.352,-19.714,0.0,-1.2651913590278194,-0.38928964893143725,-0.34062844281528853,0.2433060305821267,-0.6812568856300585,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.87770442971744,-103.263,-5.826691682696342,-108.144,14.352,-19.20074107116852,-6.0511287582753885,194.64482446574007,155.52871629405757,194.64482446574007,-194.64482446574007,12.487899263484668,-0.248704429717435,8.0,6.392308317303657,8.0,-8.0,0.5132589288314797,-0.0275396,-1.3356706,-0.2960507,-0.0826188,0.3717846,-0.5714467,-0.021430036629767998,0.00667521367513,-0.005530891330822,0.0008968253968440001,0.001465964590995,0.0026042429792970004,76.80909928947223,2.8974699998798314,1.3734669992118143,0.1487199997427524,23.785811999914586
pid,05:14:59.913,3,-85.63,-111.315,-12.231,-116.151,22.369,-19.732,-0.035043646814721795,-1.8222696343824656,-0.4205237617806456,-0.24530552770504457,0.5957419958558731,-0.6307856426709684,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.87890983575382,-103.315,-5.81450721681118,-108.151,14.369,-19.208256636621094,-4.361354186474824,140.17458726020988,112.42865344270102,140.17458726020988,-140.17458726020988,9.176938723989023,-0.24890983575382108,8.0,6.416492783188819,8.0,-8.0,0.5237433633789053,-0.0206547,-1.2805914,-0.3373601,-0.1032735,0.28916580000000003,-0.6058712,-0.022765079364793998,0.006623199023116,-0.0050280830280199995,-0.000396672771681,0.0016556776557120003,0.0008795787545970001,76.85292258892957,3.0560240002159844,0.3097560002061073,0.1280169999517966,16.84597599978588
pid,05:14:59.934,4,-85.631,-111.341,-12.237,-116.153,22.376,-19.745,-0.04813624991415552,-1.251542497761887,-0.288817499483565,-0.09627249982831104,0.3369537493975495,-0.6257712488811146,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.87992233932533,-103.341,-5.804262520742417,-108.153,14.376000000000001,-19.213662450844385,-5.991093967461539,192.54499965570272,154.82392946610966,192.54499965570272,-192.54499965570272,12.788298527403768,-0.2489223393253326,8.0,6.432737479257583,8.0,-8.0,0.5313375491556158,-0.0826188,0.2478564,0.481943,2.8985429000000003,-2.4923338,0.13081310000000002,-0.026007326007,0.043328205127662,0.037537240536769996,-0.0077609890111500004,-0.006174297924426001,-0.001534951159983,76.87312154882225,3.049228000236326,0.29294100022525527,0.12505399990914157,16.604199999164848
pid,05:14:59.954,5,-85.632,-111.344,-12.235,-116.125,22.356,-19.741,-0.04942557829886552,-0.14827673489589419,0.09885115659729206,1.3839161923619132,-0.9885115659725694,0.19770231319458412,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.88092046197453,-103.344,-5.790365352475643,-108.125,14.356000000000002,-19.210600854767897,-6.1515188917263375,197.7023131945181,159.2648971886379,197.7023131945181,-197.7023131945181,13.107642241097777,-0.2489204619745209,8.0,6.4446346475243566,8.0,-8.0,0.5303991452321029,-0.13081310000000002,2.4372546,5.7213519,7.3943826,-7.2360299,0.2134319,-0.026822222221886,0.097978266177038,0.062538949938166,-0.008571581196759001,-0.006157051282179001,-0.000724358974374,76.84650972204268,1.9853689991577994,0.2766270008578431,0.08972199975687545,18.289164000634628
pid,05:14:59.975,6,-85.635,-111.323,-12.183,-116.021,22.256,-19.737,-0.14413250707323486,1.008927549512644,2.4982967892692907,4.996593578538581,-4.804416902441048,0.1921766760977034,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.88292978496828,-103.323,-5.751151470065117,-108.021,14.256,-19.207512897559738,-5.9557902476006985,192.17667609763922,154.50640895579662,192.17667609763922,-192.17667609763922,12.719383922942429,-0.247929784968278,8.0,6.431848529934883,8.0,-8.0,0.5294871024402603,-0.1101584,6.1137912000000005,5.673157600000001,7.1465262,-7.346188300000001,0.1652376,-0.028382661782305998,0.095134798533606,0.057684249083526,-0.008002442002608,-0.005484432234546001,-0.0018453907204290002,76.70687406132517,2.6901020000877907,0.42453200057934737,0.13934999969933415,16.767106000770582
pid,05:14:59.995,7,-85.637,-111.219,-12.071,-115.876,22.108,-19.735,-0.0989327640902979,5.144503732707442,5.5402347890696,7.1726253965631175,-7.321024542699091,0.09893276409047365,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.88442244278946,-103.219,-5.682430709540844,-107.876,14.108,-19.205458241895773,-6.119546540797884,197.86552818105696,158.00970462224763,197.86552818105696,-197.86552818105696,13.097257457652324,-0.2474224427894569,8.0,6.388569290459156,8.0,-8.0,0.5295417581042265,-0.1721225,10.8230628,8.881521000000001,10.465048,-11.2361568,0.619641,-0.0294749694746,0.10073504273377999,0.063613919413122,-0.008882020757205001,-0.003949481074563,0.000137973137976,76.46166180943233,2.102553000440821,0.5380870006774785,0.41812500057858415,16.994825999972818
pid,05:15:00.015,8,-85.64,-111.043,-11.919,-115.694,21.898,-19.726,-0.14827848220599196,8.699004289417259,7.512776431769937,8.995561253829944,-10.379493754419086,0.44483544661797586,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.88641246668854,-103.043,-5.593853362023831,-107.694,13.898,-19.19991183247957,-6.089611092868174,197.70464294131511,156.3138572015673,197.70464294131511,-197.70464294131511,13.00125916440959,-0.24641246668853967,8.0,6.32514663797617,8.0,-8.0,0.5260881675204274,-0.344245,12.7095254,10.051954,11.2017323,-11.187962500000001,0.619641,-0.029683028082656,0.08357020756915999,0.053419047618378,-0.006967643467788001,-0.0047428266179250006,-0.004604853479949001,76.11252227761211,2.218088000518037,0.29816400001436705,0.11907300086022587,17.73844800027291
pid,05:15:00.036,9,-85.645,-110.807,-11.735,-115.47,21.687,-19.713,-0.24277931489541596,11.45918366307426,8.934278788159483,10.876513307324709,-10.2452870885958,0.6312262187285645,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.88940612489023,-102.807,-5.489240055155754,-107.47,13.687000000000001,-19.192360054241753,-5.933675155714776,194.22345191650942,151.6341320411896,194.22345191650942,-194.22345191650942,12.640060933848877,-0.24440612489023295,8.0,6.245759944844245,8.0,-8.0,0.5206399457582478,-0.6334108,14.045196,10.3824292,11.064034300000001,-11.7456394,0.3580148,-0.026371428571097998,0.060146275945522,0.04577289377232,-0.007829975580138001,-0.0033113553114240005,-0.001052045177067,75.70503914839487,3.4391500003039255,0.2843310003299848,0.10998000016115839,16.760995000367984
pid,05:15:00.056,10,-85.655,-110.538,-11.524,-115.247,21.455,-19.703,-0.48181592611337426,12.9608484124434,10.166316040987011,10.7444951523227,-11.178129485824703,0.4818159261132031,-86.1244,-71.8637,0.514,-76.4005,-28.681,-18.6916,-85.89489324037828,-102.538,-5.371247732520104,-107.247,13.454999999999998,-19.186310483290292,-5.779219189057032,192.72637044525112,148.22470159502365,192.72637044525112,-192.72637044525112,12.447461900321626,-0.23989324037827942,8.0,6.152752267479896,8.0,-8.0,0.5166895167097074,-0.6471806,13.7147208,10.3411198,12.2000428,-11.4908981,0.47505810000000004,-0.022869108668822,0.047645421244824,0.037415873015404,-0.006277777777908,-0.0033630952381650003,-0.0029836691087310003,75.26305367881375,2.376585999627423,0.275441999292525,0.5109949997859076,16.89443799932633
