controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:15:04.961,1,-86.172,-69.016,1.614,-73.599,-29.074,-18.594,0.0,0.0,0.0,0.0,0.0,0.0,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.6655271,-77.016,-6.386,-81.599,-21.074,-22.567982100000002,-62.33817750000009,-200.0,-200.0,-200.0,200.0,-99.34955249999999,-2.4935271000000085,-8.0,-8.0,-8.0,8.0,-3.9739821000000006,-0.0275396,1.721225,0.1858923,1.7831891,-3.7660403000000002,-0.0068849,-0.021724786324514,-0.008634432234324,0.016436630036424,-0.001224511599537,-0.0018971306471700002,-0.0019661172161580002,74.40249664574435,1.9841089997498784,0.38921800023672404,0.13522100016416516,17.55957900059002
pid,05:15:04.981,2,-86.172,-68.983,1.618,-73.566,-29.145,-18.594,0.0,1.6133066648017955,0.195552323006271,1.6133066648017955,-3.4710537333612073,0.0,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.67061740005217,-76.983,-6.382,-81.566,-21.145,-22.576094609100437,-61.07630461051131,-195.55232300627083,-195.55232300627083,-195.55232300627083,195.55232300627083,-97.33848140504229,-2.4986174000521686,-8.0,-8.0,-8.0,8.0,-3.982094609100436,-0.0275396,1.6799156,0.1996621,1.8382683,-3.6145725,0.0550792,-0.020303052502798,-0.008703785103676,0.017095482295268,0.00012072649572900001,-0.002017857142899,-0.001621184371218,74.4820232399738,2.673694999430154,1.1371170003258158,0.40299600004800595,15.845651999370602
pid,05:15:05.002,3,-86.172,-68.948,1.621,-73.526,-29.218,-18.594,0.0,1.6917778571680742,0.14500953061435637,1.9334604081917903,-3.528565244949485,0.0,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.67576578579506,-76.948,-6.379,-81.526,-21.218,-22.584299690483427,-60.511650227740276,-193.3460408191488,-193.3460408191488,-193.3460408191488,193.3460408191488,-96.43858085460568,-2.5037657857950677,-8.0,-8.0,-8.0,8.0,-3.9902996904834254,0.0068849,1.7143401,0.1721225,1.8933475,-3.3185218,-0.0275396,-0.02097924297898,-0.009501343101224,0.017407570207352,0.000603632478645,-0.00137973137976,-0.0017246642247000002,74.56609171278859,2.31899499976862,0.35053300052823033,0.1383319995511556,17.275729999710165
pid,05:15:05.023,4,-86.172,-68.916,1.625,-73.488,-29.287,-18.594,0.0,1.56840385154699,0.1960504814433955,1.8624795737120943,-3.3818708048985235,0.0,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.68084315154634,-76.916,-6.375,-81.488,-21.287,-22.59239158593974,-61.48248846582812,-196.05048144339534,-196.05048144339534,-196.05048144339534,196.05048144339534,-97.9858244278384,-2.508843151546344,-8.0,-8.0,-8.0,8.0,-3.998391585939739,-3.8073497,-0.1101584,-0.6058712,-1.8038438,0.14458290000000001,-3.8211195,-0.028035897435546,-0.043397557997013995,-0.030445909645528,0.006519230769366001,0.002862942613002,0.0038460012210810002,74.64525860709439,5.231445999925199,0.650474999929429,0.13666599988937378,14.036189000762533
pid,05:15:05.043,5,-86.173,-68.883,1.629,-73.448,-29.358,-18.594,-0.04928734767764636,1.626482473354625,0.19714939070964424,1.9714939070967488,-3.4994016850962564,0.0,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.6863912016388,-76.883,-6.371,-81.448,-21.358,-22.600438377229786,-61.939193002258584,-197.14939070964405,-197.14939070964405,-197.14939070964405,197.14939070964405,-98.7333606233234,-2.5133912016387967,-8.0,-8.0,-8.0,8.0,-4.0064383772297845,-3.993242,-3.2014785,-4.9915525,-5.5974237,3.855544,-5.232524,-0.020684493284234,-0.088147496946392,-0.067202930402088,0.011520757020996001,0.006105311355438001,0.002052350427393,74.72696647609884,3.638815000158502,0.3150329994241474,0.12614600018423516,15.958094999405148
pid,05:15:05.063,6,-86.199,-68.877,1.625,-73.454,-29.393,-18.629,-1.2865659611616558,0.29689983719120544,-0.19793322479412961,-0.29689983719120544,-1.7319157169486397,-1.7319157169486397,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.70439298949442,-76.877,-6.375,-81.454,-21.393,-22.625917937011337,-61.987564223404426,-197.93322479412944,-197.93322479412944,-197.93322479412944,197.93322479412944,-98.89035706376912,-2.5053929894944247,-8.0,-8.0,-8.0,8.0,-3.996917937011336,-4.0689759,-8.564815600000001,-10.1276879,-10.6991346,8.9021757,-5.3633371,-0.01941880341856,-0.106924786323446,-0.06435946275865599,0.009037240537428002,0.005536172161287001,0.00275946275952,74.74609846620758,2.488658999936888,0.4985690002285992,0.3366999999343534,16.705457999705686
pid,05:15:05.083,7,-86.285,-68.9,1.584,-73.526,-29.352,-18.73,-4.2639652934569865,-1.1403628110413546,-2.0328206631597574,-3.5698314084758134,2.0328206631597796,-5.007680170222781,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.75229819593034,-76.9,-6.416,-81.526,-21.352,-22.684279921735143,-61.165545791024385,-198.3239671375377,-198.3239671375377,-198.3239671375377,198.3239671375377,-98.02856015635321,-2.46729819593034,-8.0,-8.0,-8.0,8.0,-3.954279921735143,-4.0758608,-10.740444,-11.4220491,-10.7060195,11.222387000000001,-5.9141291,-0.017008791208578,-0.102503540902256,-0.059764835164086,0.009520146520344,0.00241452991458,0.00048290598291600006,74.65542424847641,3.6314999997557607,0.2803489996949793,0.47868000001471955,15.468100999896706
pid,05:15:05.103,8,-86.364,-69.025,1.416,-73.691,-29.223,-18.832,-3.894478456078047,-6.162149455819092,-8.281928868620867,-8.13403728168151,6.359338238405369,-5.028313955948395,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.79665151460014,-77.025,-6.584,-81.691,-21.223,-22.74308371249757,-59.961448827562826,-197.18878258621095,-197.18878258621095,-197.18878258621095,197.18878258621095,-96.4027294825192,-2.4326515146001384,-8.0,-8.0,-8.0,8.0,-3.911083712497568,-3.8142346000000003,-13.4737493,-13.0331157,-11.697445100000001,11.1673078,-5.452840800000001,-0.017580952380732,-0.080761416360404,-0.04828693528633,0.006381257631390001,0.0039322344323160004,0.003138888888954,74.3839518291412,4.02343999940058,0.6703629996991367,0.1123689999076305,15.15984399975423
pid,05:15:05.123,9,-86.442,-69.219,1.198,-73.9,-29.012,-18.949,-3.8693756593725936,-9.623831768183932,-10.814408894145474,-10.36794247191027,10.467157232406787,-5.8040634890597715,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.8403958691462,-77.219,-6.802,-81.9,-21.012,-22.809220781782486,-59.48906793343242,-198.42952099349498,-198.42952099349498,-198.42952099349498,198.42952099349498,-95.7477200822791,-2.3983958691462135,-8.0,-8.0,-8.0,8.0,-3.860220781782484,-3.5732631,-14.8644991,-13.2947419,-11.6010565,11.5253226,-5.6869274,-0.020684493284234,-0.050852991452354,-0.035317948717506,0.006295024420155001,0.0038115079365870002,0.0030871489622130003,73.98806035246497,3.4526869994806475,0.6037530001776759,0.49242099976254394,15.407952999339614
pid,05:15:05.144,10,-86.523,-69.463,0.953,-74.122,-28.793,-19.061,-3.997583413738885,-12.042103122867285,-12.091456004518392,-10.95633972654291,10.808281081589968,-5.52752274492261,-91.1491,-113.8924,-16.5157,-97.0444,21.4807,-26.5261,-88.8855826268848,-77.463,-7.047,-82.122,-20.793,-22.872783764682627,-58.30013038778986,-197.4115266043819,-197.4115266043819,-197.4115266043819,197.4115266043819,-94.06125650897442,-2.3625826268848016,-8.0,-8.0,-8.0,8.0,-3.8117837646826267,-3.2909822,-13.9143829,-13.0675402,-12.3997049,11.291236,-5.4046465,-0.024828327228016,-0.037381196580728,-0.029058852258487998,0.0036735347986110002,0.005277472527582001,0.0036735347986110002,73.54683485181398,2.4934009998105466,0.29925600028946064,0.1050729997587041,17.1568429996114
