controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:54:17.177,1,0.0,-110.3,111.4,-90.101,-90.296,-0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.100499,-90.298004,-2.7579930000000004,0.0,0.0,0.0,0.012525000000059806,-0.05009999999988323,-56.27482500000001,0.0,0.0,0.0,0.0005009999999998627,-0.0020039999999994507,-2.2509930000000002,0.0137698,0.034424500000000004,-0.0206547,-0.0413094,0.0206547,-0.0550792,0.00476800976795,-0.00494139194133,-0.021915506715232,0.0022593101343570004,0.0008795787545970001,0.002449023199074,4.49300189183134,2.8106760000810027,0.29297899891389534,0.12185100058559328,16.830075001053046
pid,05:54:17.197,2,0.0,-110.3,111.4,-90.101,-90.296,-0.508,0.0,0.0,0.0,0.0,0.0,-0.04928445196465506,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049798548125,-90.29800805807496,-2.763050218170166,0.0,0.0,0.0,0.012370755217205147,-0.049483020868468994,-55.56945707764618,0.0,0.0,0.0,0.0005020145187444314,-0.0020080580749493038,-2.255050218170166,-0.0137698,-0.0137698,-0.0137698,-0.0068849,0.0275396,-0.0619641,0.003311599511558,-0.004889377289315999,-0.021551404151134,0.0016556776557120003,0.000741605616621,0.0019488705739110002,4.492001892252495,2.1241270005702972,0.34907099870906677,0.10868400022445712,19.789638001384446
pid,05:54:17.220,3,0.0,-110.3,111.4,-90.101,-90.295,-0.508,0.0,0.0,0.0,0.0,0.04409811487409741,0.0,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049685164594,-90.29751372725153,-2.76814340640831,0.0,0.0,0.0,0.01109394695788208,-0.05542531654973749,-49.83403178362579,0.0,0.0,0.0,0.0005031483540562931,-0.0025137272515252107,-2.26014340640831,-0.034424500000000004,0.0275396,0.0206547,0.0137698,-0.0068849,0.0137698,0.003762393162346,-0.002878144078108,-0.022036874236598,0.0019143772894170002,0.0009140720390910001,0.0033458485959180005,4.492002894032906,3.3830769989435794,0.9044169983098982,0.42421800026204437,15.273089999027434
pid,05:54:17.240,4,0.0,-110.3,111.4,-90.101,-90.295,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049582701826,-90.29751885038996,-2.7727460339717864,0.0,0.0,0.0,0.012301370264857696,-0.0614576988667532,-55.25777962858339,0.0,0.0,0.0,0.000504172981734996,-0.002518850389961358,-2.2647460339717864,0.034424500000000004,0.0206547,-0.0137698,0.0206547,-0.0137698,-3.3529463,0.004369230769176,-0.004802686202626,-0.021482051281782,0.0022593101343570004,0.0009485653235850001,0.00310439560446,4.492002894032906,3.881184000420035,0.4856240011577029,0.25301599998783786,26.74890299931576
pid,05:54:17.272,5,0.0,-110.3,111.4,-90.101,-90.295,-0.548,0.0,0.0,0.0,0.0,0.0,-1.2624509759658085,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049424279832,-90.29752677148961,-2.7997989811115267,0.0,0.0,0.0,0.007981170910688703,-0.03987406416388367,-35.53482276728822,0.0,0.0,0.0,0.0005057572016795575,-0.002526771489613111,-2.2517989811115267,0.0137698,-0.0068849,-0.0413094,0.0206547,0.0137698,-3.511299,0.00407448107443,-0.005340170940104,-0.021430036629767998,0.000569139194151,0.000620879120892,0.0016729242979590003,4.452002920034981,3.9565719998790883,0.4569770007947227,0.1790349997463636,15.48169899979257
pid,05:54:17.292,6,0.0,-110.3,111.4,-90.101,-90.295,-0.612,0.0,0.0,0.0,0.0,0.0,-3.149652762622171,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049322681331,-90.29753185141467,-2.8362571233444216,0.0,0.0,0.0,0.012469996620848729,-0.06230041252179646,-54.731543697842234,0.0,0.0,0.0,0.0005067731866859049,-0.0025318514146732696,-2.2242571233444215,-0.0068849,0.0137698,-0.034424500000000004,-0.0895037,-0.0068849,-2.7814996,0.0040224664224159995,-0.004889377289315999,-0.021551404151134,0.002552503052556,0.0009140720390910001,0.005449938950052,4.388002962624341,3.6624269996536896,0.4569400007312652,0.17764599942893256,15.74915899982443
pid,05:54:17.313,7,0.0,-110.3,111.4,-90.101,-90.295,-0.68,0.0,0.0,0.0,0.0,0.0,-3.3516971854985633,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049221240186,-90.29753692347192,-2.8746393808059696,0.0,0.0,0.0,0.01251434017280786,-0.06252205338733341,-54.08651938111523,0.0,0.0,0.0,0.0005077875981385205,-0.0025369234719221367,-2.1946393808059694,-0.034424500000000004,-0.0275396,0.0206547,0.0206547,0.0550792,-3.5044141,0.012882295482134,-0.00372771672767,-0.021551404151134,0.002207570207616,-5.173992674100001e-05,0.0027422161172730003,4.320003009258211,3.714870999829145,0.4510689996095607,0.1770350008882815,17.739176999384654
pid,05:54:17.335,8,0.0,-110.3,111.4,-90.101,-90.295,-0.739,0.0,0.0,0.0,0.0,0.0,-2.6467014192665137,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049109780692,-90.29754249644661,-2.9088886698298455,0.0,0.0,0.0,0.011414509802298375,-0.057027364014536265,-48.66989340753378,0.0,0.0,0.0,0.0005089021930757553,-0.002542496446608311,-2.1698886698298456,-0.0206547,-0.0137698,0.0206547,-0.0550792,0.0275396,-2.7952694,0.00424786324781,-0.005184126984062,-0.02123931623905,0.0027422161172730003,0.001155525030549,-0.000310439560446,4.26100305092592,2.3209770006360486,0.34536699968157336,0.13255399971967563,17.24121900042519
pid,05:54:17.355,9,0.0,-110.3,111.4,-90.101,-90.295,-0.803,0.0,0.0,0.0,0.0,0.0,-3.165923126820699,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10049008704328,-90.29754755026484,-2.9451308448486326,0.0,0.0,0.0,0.012612072049500597,-0.06301053359510216,-52.98298111236127,0.0,0.0,0.0,0.0005099129567156524,-0.002547550264836218,-2.1421308448486327,0.0206547,-0.0413094,-0.0137698,0.0137698,0.0206547,-3.9863571,0.0038317460316979997,-0.0050280830280199995,-0.021603418803148,0.0008795787545970001,0.0008623321123500001,0.000327686202693,4.197003097449417,2.021238999077468,0.406217999625369,0.0977769996097777,17.530568000438507
pid,05:54:17.375,10,0.0,-110.3,111.4,-90.101,-90.295,-0.856,0.0,0.0,0.0,0.0,0.0,-2.6225533481194816,0.0,-110.3,111.4,-90.1,-90.3,-5.0,0.0,-110.3,111.4,-90.10048907657766,-90.29755260259294,-2.975818214385986,0.0,0.0,0.0,0.012640791810262803,-0.06315411770321254,-52.44656939191166,0.0,0.0,0.0,0.0005109234223397152,-0.0025526025929423213,-2.1198182143859863,0.0481943,-0.0481943,-0.0481943,0.0275396,0.0206547,-3.0913201,0.003589010988966,-0.00563492063485,-0.021551404151134,0.00155219780223,0.0008623321123500001,0.001000305250326,4.144003137064449,3.095320998909301,0.31105200105230324,0.13790600132779218,16.78353799979959
